date, pm25, pm10, o3, no2, so2, co
2024/6/11, 62, 20, 40, 3, 1, 5
2024/6/12, 61, 28, 37, 16, 2, 6
2024/6/13, 79, 25, 34, 8, 1, 6
2024/6/14, 71, 31, 35, 5, 1, 5
2024/6/15, 67, 36, 41, 5, 1, 5
2024/6/16, 74, 20, 42, 6, 1, 4
2024/6/17, 52, 17, 38, 9, 1, 5
2024/6/18, 46, 16, 30, 8, 1, 5
2024/6/19, 48, 23, 26, 7, 1, 5
2024/6/20, 66, 21, 32, 5, 1, 4
2024/6/21, 65, 21, 38, 2, 2, 5
2024/6/22, 64, 24, 45, 10, 1, 5
2024/6/23, 65, 29, 40, 9, 1, 5
2024/6/24, 66, 21, 37, 11, 1, 5
2024/6/25, 53, 18, 33, 11, 2, 5
2024/6/26, 51, 22, 33, 8, 1, 5
2024/6/27, 60, 28, 37, 5, 1, 5
2024/6/28, 75, 25, 38, 2, 1, 4
2024/6/29, 65, 27, 38, 7, 1, 5
2024/6/30, 58, 28, 39, 9, 1, 5
2024/1/1, 88, 41, 25, 23, 4, 7
2024/1/2, 89, 19, 19, 21, 4, 7
2024/1/3, 56, 20, 25, 20, 3, 8
2024/1/4, 49, 20, 33, 14, 2, 7
2024/1/5, 53, 21, 34, 12, 2, 7
2024/1/6, 53, 25, 26, 29, 4, 10
2024/1/7, 64, 45, 26, 31, 4, 9
2024/1/8, 79, 52, 36, 23, 4, 7
2024/1/9, 89, 69, 30, 16, 4, 5
2024/1/10, 94, 41, 29, 12, 3, 5
